Description 1,Description 2,code,at,be,de,dk,el,es,fr,ie,it,lu,nl,pt,fi,se,uk,cz,ee,hu,lv,lt,pl,sk,si,cy,mt,bg,ro,hr
TFP ARIMA EXTENSION,Order of AR model (p),tfp_nblag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Order of MA model (q),tfp_ma_order,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,use of a constant,tfp_const,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Start of AR process analysis,tfp_ar_start,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
TFP HP FILTERING,Lambda,tfp_lambda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PART AR EXTENSION,Order of AR model (p),part_nblag,2,3,1,2,1,3,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1
,use of a constant,part_const,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
,use of time as exogenous value,part_timexog,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Start of AR process analysis,part_ar_start,1990,1990,1990,1990,1990,1990,1990,1990,1990,1965,1990,1990,1990,1965,1990,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
PART HP FILTERING,Lambda,part_lambda,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HPERE AR EXTENSION,Order of AR model (p),hpere_nblag,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1
,use of a constant,hpere_const,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
,Start of AR process analysis,hpere_ar_start,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
HPERE HP FILTERING,Lambda,hpere_lambda,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
IYPOT AR EXTENTION,Order of AR model (p),iypot_nblag,1,1,2,2,4,2,2,2,2,1,2,2,2,1,3,1,3,1,2,1,2,1,2,2,1,2,1,2
,use of a constant,iypot_const,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Start of AR process analysis,iypot_ar_start,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991
GDP ARIMA EXTENSION,Order of AR model (p),gdp_nblag,1,2,1,0,0,2,1,2,0,1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Order of differentiation (d),gdp_dif,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Order of MA model (q),gdp_ma_order,1,1,2,1,1,2,2,0,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,use of a constant,gdp_const,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Transformation,gdp_transf,,log,root,log,root,log,log,,log,,,root,,root,,,,,,,,,,,,,,
FOR POSS. FUTURE USE ->,Start of AR process analysis,gdp_ar_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP HP FILTERING,Lambda,gdp_lambda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
HP FILTERING,General starting year of filtering,starthp,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
