Description 1,Description 2,code,be,el,es
TFP ARIMA EXTENSION,Order of AR model (p),tfp_nblag,tfp_nblag,0,0,0
,Order of MA model (q),tfp_ma_order,tfp_ma_order,0,0,0
,use of a constant,tfp_const,tfp_const,1,1,1
,Start of AR process analysis,tfp_ar_start,tfp_ar_start,1976,1976,1976
TFP HP FILTERING,Lambda,tfp_lambda,tfp_lambda,100,100,100
PART AR EXTENSION,Order of AR model (p),part_nblag,part_nblag,3,1,3
,use of a constant,part_const,part_const,1,1,1
,use of time as exogenous value,part_timexog,part_timexog,0,0,0
,Start of AR process analysis,part_ar_start,part_ar_start,1990,1990,1990
PART HP FILTERING,Lambda,part_lambda,part_lambda,10,10,10
HPERE AR EXTENSION,Order of AR model (p),hpere_nblag,hpere_nblag,1,1,2
,use of a constant,hpere_const,hpere_const,1,1,1
,Start of AR process analysis,hpere_ar_start,hpere_ar_start,1976,1976,1976
HPERE HP FILTERING,Lambda,hpere_lambda,hpere_lambda,10,10,10
IYPOT AR EXTENTION,Order of AR model (p),iypot_nblag,iypot_nblag,1,4,2
,use of a constant,iypot_const,iypot_const,1,1,1
,Start of AR process analysis,iypot_ar_start,iypot_ar_start,1975,1975,1975
HP FILTERING,General starting year of filtering,starthp,starthp,1965,1965,1965
